Reported Year,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,10,0,10,39,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,0,1,356,1,1,1
2014,1,29,29,14,1,1,1
2014,1,6,1,14,1,1,1
2014,4,0,4,0,1,1,1
2014,9,26,35,62,1,8,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,240,240,0,1,1,1
2014,1,6,1,14,1,1,1
2014,45,6,45,566,1,45,1
2014,2,4,6,14,1,4,1
2014,1,75,75,27,1,1,1
2014,1,6,1,14,1,1,1
2014,5,6,5,14,1,1,1
2014,3,2,5,0,1,1,1
2014,4,6,4,14,1,1,1
2014,1,6,1,14,1,1,1
2014,3,0,3,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,40,40,1,1,1,1
2014,6,3,9,16,1,1,1
2014,1,0,1,0,0,1,1
2014,4,0,4,80,1,1,1
2014,22,7,29,36,1,1,1
2014,44,33,77,53,1,1,1
2014,1,6,1,14,1,1,1
2014,1,0,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,13,33,46,14,1,1,1
2014,1,6,1,14,1,1,1
2014,17,200,217,226,12,2,3
2014,1,6,1,14,1,1,1
2014,62,0,62,0,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,0,1,0,1,1,1
2014,1,0,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2014,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,5,6,5,14,1,1,1
2015,2,6,2,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,4,6,4,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,13,13,14,1,1,2
2015,1,6,1,14,1,1,1
2015,30,6,30,14,1,1,1
2015,6,6,6,14,1,1,1
2015,12,11,23,14,5,2,5
2015,3,6,3,14,1,1,1
2015,8,6,8,14,1,1,1
2015,13,6,13,14,5,2,6
2015,1,1,2,14,1,2,1
2015,1,6,1,14,1,1,1
2015,2,1,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,7,1,8,14,2,1,4
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,4,3,7,14,4,2,5
2015,20,6,20,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,5,6,5,14,1,1,1
2015,2,6,2,14,1,1,1
2015,3,6,3,14,1,1,1
