Reported Year,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children
2015,1,6,1,97,1,1,1
2015,2,6,2,14,1,1,1
2015,9,36,45,27,1,1,1
2015,1,6,1,14,1,1,1
2015,6,6,6,66,1,1,1
2015,0,15,15,4,1,1,1
2015,6,6,6,14,1,4,1
2015,3,0,3,84,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,6,4,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,243,243,14,1,1,1
2015,1,130,130,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,0,1,10,1,1,1
2015,1,6,1,14,1,1,1
2015,7,4,11,9,1,1,1
2015,4,6,4,14,1,1,1
2015,21,19,40,12,6,11,1
2015,1,6,1,14,1,1,1
2015,2,6,2,129,1,1,1
2015,1,6,1,14,1,1,1
2015,5,3,8,8,1,1,1
2015,1,6,0,14,1,1,1
2015,6,6,6,269,1,1,1
2015,2,6,2,14,1,1,1
2015,2,6,2,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,10,40,50,941,1,1,1
2015,1,6,1,14,1,1,1
2015,1,25,25,14,1,1,1
2015,1,6,1,14,1,1,1
2015,5,6,5,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,6,4,30,1,1,1
2015,42,6,42,30,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,2,1
2015,1,6,1,14,1,1,1
2015,4,8,12,18,1,1,1
2015,9,6,9,14,1,9,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,9,6,9,6,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,4,6,8,1,6,1
2015,3,6,3,73,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,2,1
2015,52,6,52,441,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,5,8,124,3,1,1
2015,71,6,71,14,8,59,4
2015,111,91,202,198,1,6,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,2,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,37,6,37,14,1,1,1
2015,24,6,24,14,1,1,1
2015,1,6,1,125,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,9,6,9,31,1,1,1
2015,20,6,20,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,6,6,6,3,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,5,6,5,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,19,1,1,1
2015,1,6,1,14,1,1,1
2015,5,6,5,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,1,2,14,1,2,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,2,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,4,4,25,2,2,4
2015,1,1,1,32,1,1,1
2015,1,6,1,14,1,1,1
2015,34,4,38,99,15,15,15
2015,2,6,2,11,1,1,1
2015,22,6,22,249,1,1,4
2015,1,6,1,254,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,20,20,107,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,12,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,6,4,112,4,1,1
2015,2,6,2,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,6,6,6,14,1,1,1
2015,4,6,4,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,7,3,10,7,2,3,4
2015,5,6,5,8,1,1,2
2015,1,6,1,14,1,1,1
2015,1,43,44,91,1,1,1
2015,61,6,61,19,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,49,6,49,312,1,49,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,15,18,19,1,1,1
2015,1,6,1,14,1,1,1
2015,12,6,12,106,4,1,1
2015,9,6,9,14,1,8,1
2015,30,6,30,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,100,6,100,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,6,6,6,10,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,3,1
2015,2,6,2,9,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,7,6,7,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,40,6,40,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,3,6,3,14,2,2,1
2015,22,200,222,373,2,1,2
2015,1,6,1,14,1,1,1
2015,10,6,10,29,3,7,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,60,60,54,18,42,1
2015,1,6,1,14,1,1,1
2015,5,6,5,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,6,4,14,1,4,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,14,6,14,14,1,9,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,931,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,1050,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,6,6,6,26,5,1,5
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,5,6,5,250,1,1,1
2016,1,6,1,14,1,1,1
2016,5,6,5,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,7,6,7,14,1,1,1
2016,6,6,6,4,1,3,4
2016,1,6,1,14,1,1,1
2016,7,6,7,14,1,1,1
2016,4,6,4,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,10,6,10,14,1,1,1
2016,1,2,3,12,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,5,2,7,32,3,1,3
2016,1,6,1,14,1,1,1
2016,3,6,3,14,1,1,1
2016,8,6,8,14,1,1,1
2016,3,6,3,14,1,3,1
2016,2,6,2,14,1,1,1
2016,7,6,7,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,7,7,14,1,7,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,5,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,7,6,7,37,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,5,6,5,14,1,1,1
2016,7,20,27,3,1,1,1
2016,14,6,14,11,1,1,1
2016,18,6,18,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,1,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,30,6,30,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,1,1,1,1,1,1
2016,1,6,1,1,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,14,2,1,1
2016,10,6,10,14,1,1,1
2016,1,6,0,14,1,1,1
2016,6,6,6,60,1,1,5
2016,28,6,28,14,1,1,1
2016,11,6,11,14,2,7,2
2016,10,6,10,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,25,6,25,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,8,6,8,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,750,1,1,1
2016,1,6,1,14,1,1,1
2016,5,6,5,164,4,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,5,15,20,3,2,3,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,204,84,288,162,10,31,1
2016,7,6,7,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,14,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,4,6,4,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,1,2,14,1,2,1
2016,4,6,4,14,1,4,1
2016,1,6,1,14,1,1,1
2016,28,6,28,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,842,1,1,1
2016,18,6,18,14,1,17,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,5,1,2,3
2016,1,2,2,6,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,22,6,22,104,21,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,0,14,1,1,1
2016,3,7,10,4,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,9,1,1,1
2016,2,6,2,14,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,6,6,6,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,6,6,6,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,4,3,7,6,2,2,2
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,4,6,4,400,1,1,1
2016,1,20,21,100,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,4,6,4,14,1,1,1
2016,5,6,5,14,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,15,15,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,2,3,10,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,7,6,7,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,182,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,1,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,6,6,6,14,1,1,1
2016,1,9,9,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,15,11,26,34,1,1,1
2016,2,6,2,14,1,2,1
2016,21,6,21,14,1,1,1
2016,1,6,1,14,1,1,1
2016,10,6,10,14,1,1,1
2016,9,6,9,7,1,9,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,6,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,2,1
2016,1,6,1,14,1,1,1
2016,4,6,4,10,1,1,2
2016,8,6,8,14,1,7,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,6,6,6,14,1,1,1
2016,6,6,6,14,1,1,1
2016,120,6,120,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,5,6,5,14,1,1,1
2016,7,6,7,14,1,1,1
2016,1,6,1,14,1,1,1
2016,5,6,5,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,14,1,1,1
2016,4,6,4,14,1,3,1
2016,6,6,6,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,6,6,6,14,1,1,1
2016,2,6,2,14,2,1,1
2016,1,6,1,14,1,1,1
2016,10,6,10,14,1,1,1
2016,7,6,7,38,1,1,1
2016,1,6,1,14,1,1,1
2016,5,6,5,14,1,1,1
2016,26,4,30,6,11,1,5
2016,11,6,11,14,1,1,1
2016,4,6,4,14,1,1,1
2016,3,6,3,14,1,1,1
2016,2,6,2,14,2,1,1
2016,1,20,20,42,1,1,1
2016,14,6,20,120,1,11,3
2016,1,6,1,3,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,2,1
2016,2,6,2,14,1,1,1
2016,1,87,87,27,1,1,1
2016,6,6,6,165,1,1,1
2016,15,6,15,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,8,6,8,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,1,3,14,1,1,1
2016,1,20,20,14,1,1,1
2016,4,6,4,140,1,1,1
2016,5,6,5,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,7,6,7,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,5,6,5,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,1,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,1,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,15,6,15,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,8,6,8,1,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,26,28,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,8,1,2,1
2016,1,6,1,14,1,1,1
2016,6,6,6,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,8,1,1,1
2016,1,6,1,14,1,1,1
2016,5,56,61,62,1,1,1
2016,1,57,58,63,1,1,1
2016,7,40,47,80,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,7,6,7,300,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,3,6,3,3,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,18,6,18,14,1,1,1
2016,2,6,2,14,1,1,1
2016,18,6,18,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,42,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,12,1,1,1
2016,1,6,1,14,1,1,1
2016,12,6,12,14,1,1,1
2016,1,6,1,14,1,1,1
2016,4,6,4,14,1,1,1
2016,1,6,1,14,1,1,1
2016,12,6,12,14,1,1,1
2016,3,6,3,14,1,1,1
2016,2,6,2,14,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,20,6,20,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,5,6,5,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,2,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,18,6,18,14,1,1,1
2016,1,6,1,14,1,1,1
2016,6,6,6,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,5,6,5,8,1,1,4
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,14,1,1,1
2016,5,6,5,14,1,1,1
2016,4,6,4,14,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,4,6,4,14,1,1,1
2016,5,6,5,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,5,6,5,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,30,6,30,14,1,1,1
2016,6,6,6,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,6,6,6,14,1,1,1
2016,5,6,5,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,14,1,1,1
2016,5,6,5,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,5,4,9,118,1,1,1
2016,1,6,1,14,1,1,1
2016,12,6,12,14,1,1,1
2016,1,6,1,1,1,1,1
2016,14,6,14,300,1,1,1
2016,13,6,13,120,1,1,1
2016,29,6,29,107,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,44,6,44,14,1,1,10
2016,1,6,1,14,1,1,1
2016,4,10,14,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,30,30,14,2,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,10,10,140,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,30,6,30,14,1,1,1
2016,1,3,4,14,1,1,1
2016,3,6,3,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,6,6,6,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,14,1,1,1
2016,2,6,2,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,1,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,17,17,113,1,13,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,5,6,5,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,14,1,1,1
2016,1,6,1,2,1,1,1
2016,1,6,1,14,1,1,1
2016,2,6,2,14,1,1,1
2016,6,4,10,14,4,1,2
2016,1,29,30,14,1,1,1
2016,1,6,1,14,1,1,1
2016,3,6,3,14,1,3,1
