Reported case,Reported day,Reported Month,Reported Year,Region of Incident,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Source Quality,Migration Route,UNSD Geographical Grouping,Latitude,Length
2018-07-24,24,7,2018,2,1,6,1,14,1,1,1,Sho,"Checkpoint in Al Baydan, Libya","EFE, Libya Observer",3,Northern Africa,Northern Africa,25.853161,14.22244
2018-07-24,24,7,2018,3,1,6,1,14,1,1,1,"Dehydration, Exposure, Hyperthermia","Open desert near Calexico, Imperial County, California, USA","Imperial County Coroner's Office, La Crónica",5,Central America to US,Northern America,32.699221989857996,-115.22803858473
2018-07-24,24,7,2018,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.8529343,-112.7287505
2018-07-24,24,7,2018,12,1,1,1,14,1,1,1,Hypothermia,"Road between Cúcuta and Bucaramanga, near Berlín, Santander province, Colombia",Caracol Radio,1,South America,South America,7.18334,-72.8833
2018-07-24,24,7,2018,6,1,6,1,14,1,1,1,"Sickness and lack of access to medicines, Dehydratio","Near Dhobley, Somalia",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Eastern Africa,Eastern Africa,2.5,42.329444
2018-07-24,24,7,2018,5,1,6,1,14,1,1,1,Unknown,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,16.967643,7.985137
2018-07-23,23,7,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.3770211,-113.1654307
2018-07-23,23,7,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.3770211,-113.1654307
2018-07-23,23,7,2018,10,1,6,1,14,1,1,1,Stabbed,Near Greek border with the former Yugoslav Republic of Macedonia,Lahore Daily Times,1,Southern Europe,Southern Europe,41.076758001353,22.239659765625
2018-07-23,23,7,2018,9,3,6,3,14,1,1,1,Sho,"Syria-Turkey border, near Al-Deriyyeh, Darkush, Idlib Governorate, Syria",Syrian Observatory for Human Rights,4,Western Asia,Western Asia,36.008703898861,36.375425242882
2018-07-23,23,7,2018,2,2,6,2,14,1,2,1,"Sickness and lack of access to medicines, Starvation, Dehydratio",Sudanese Libyan border,Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,21.053344,24.890891
2018-07-23,23,7,2018,6,1,6,1,14,1,1,1,Vehicle Accide,"Galkayo, Somalia",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Eastern Africa,Eastern Africa,6.770377,47.41765
2018-07-23,23,7,2018,2,1,6,1,14,1,1,1,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse","Unspecified location in the Sahara desert, Egyp",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,22.396611,26.693147
2018-07-23,23,7,2018,5,1,6,1,14,1,1,1,Killed by hippopotamus,"Limpopo river, Beitbridge, Zimbabwe-South Africa border",NewsdzeZimbabwe,1,Southern Africa,Southern Africa,-22.227548063101,30.004826466378002
2018-07-22,22,7,2018,3,1,6,1,2,1,1,1,Dehydratio,"Ranch near Laredo, Webb County, Texas, USA",El Mañana,1,Central America to US,Northern America,27.591228418645,-99.405928364844
2018-07-22,22,7,2018,3,1,6,1,14,1,1,1,Mummified remains,"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.0250357,-111.3268649
2018-07-22,22,7,2018,4,1,6,1,14,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydratio","Songkhla province, Thailand",Mixed Migration Monitoring Mechanism Initiative (4mi),2,South-eastern Asia,South-eastern Asia,6.505391,100.68001
2018-07-22,22,7,2018,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,21.983583,23.441843
2018-07-22,22,7,2018,2,1,6,1,14,1,1,1,"Sickness and lack of access to medicines, Dehydratio","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,24.740071,13.7307
2018-07-21,21,7,2018,3,1,6,1,1,1,1,1,Dehydratio,"Ranch near Hebbronville, Jim Hogg County, Texas, USA",El Mañana,1,Central America to US,Northern America,27.135738507782,-98.64676590664101
2018-07-21,21,7,2018,3,1,6,1,14,1,1,1,Dehydratio,"Ranch near Laredo, Webb County, Texas, USA",Chapin TV,1,Central America to US,Northern America,27.604615841947,-99.399061909766
2018-07-21,21,7,2018,7,1,6,1,14,1,1,1,Hit by trai,"Train tracks near Colonia Pascualitos, Mexicali, Mexico","MBC Network, Veraz Informa",3,Northern America,Northern America,32.3881816,-115.2257264
2018-07-21,21,7,2018,2,1,6,1,14,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydratio","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,23.648314,22.326002
2018-07-21,21,7,2018,2,2,6,2,14,1,1,1,"Excessive Physical Abuse, Sexual abuse","Sahara desert, Sudan, near the border with Egyp",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,21.943709,27.672666
2018-07-21,21,7,2018,2,2,6,2,14,1,1,1,"Sickness and lack of access to medicines, Vehicle Accide","Unspecified location in the Sahara desert, Suda",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,19.635357,27.103538
2018-07-21,21,7,2018,2,2,6,2,14,2,1,1,"Excessive Physical Abuse, Sexual abuse","Sahara desert, Sudan, near the border with Egyp",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,21.943709,27.672666
2018-07-21,21,7,2018,6,2,6,2,14,1,2,1,Shot or stabbed,"Near Negele, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Eastern Africa,Eastern Africa,5.321172,39.569408
2018-07-21,21,7,2018,6,7,6,7,14,2,2,2,Shot or stabbed,"Near Negele, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Eastern Africa,Eastern Africa,5.321172,39.569408
2018-07-20,20,7,2018,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near International Bridge II, Piedras Negras, Coahuila, Mexico",La Rancherita del Aire,1,Central America to US,Central America,28.697425359808,-100.51082548081
2018-07-20,20,7,2018,1,1,3,3,10,1,1,1,Presumed drowning,"Off the coast of Cherchell, Wilaya of Tipasa, Algeria","El Watan, Algérie Presse Service",3,Western Mediterranea,Uncategorized,36.827365026355,2.019972303906
2018-07-20,20,7,2018,3,1,6,1,14,1,1,1,"Dehydration, Exposure, Hyperthermia","Wetlands near ranch in Imperial County, California, USA","Imperial County Coroner's Office, La Crónica",5,Central America to US,Northern America,32.705372916338,-115.17299937748
2018-07-20,20,7,2018,10,2,6,2,14,1,1,1,Hit by trai,"Alexandroupolis-Ormenio train line, near Antheia, Alexandropoulis, Greece","IOM Greece, AP, Kathimerini",3,Southern Europe,Southern Europe,40.8710918,26.047733822656003
2018-07-19,19,7,2018,9,2,2,4,5,1,3,3,Drowning,"Bodies recovered from the Evros/Meriç river, near Didymóteicho, Greece","IOM Turkey, Euronews, Patras Times",4,Western Asia,Western Asia,41.326511291792,26.509713432909997
2018-07-19,19,7,2018,1,2,6,2,14,1,1,1,Presumed drowning,"Bodies recovered in Tajoura and Garabulli, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.807168437915,13.553495876953
2018-07-19,19,7,2018,7,1,6,1,14,1,1,1,Fall from trai,"Train tracks near Colonia Providencia, Saltillo, Coahuila, Mexico","El Diario de Coahuila, Radio Zocalo",3,Central America to US,Central America,25.420564220696,-101.01603696452999
2018-07-19,19,7,2018,6,3,2,5,160,2,3,1,Drowning,"Bodies retrieved in Al Shoghayrat, Shabwa Governorate, Yeme",IOM Yeme,4,Horn Africa to Yeme,Western Asia,13.208862145309999,47.032619421875
2018-07-19,19,7,2018,3,1,6,1,14,1,1,1,Dehydratio,"Briscoe Ranch Catarina, near Carrizo Springs, Dimmit County, Texas, USA",Consulado de México en Eagle Pass via Telemundo San Antonio,5,Central America to US,Northern America,28.2616536,-99.8093986
2018-07-19,19,7,2018,2,2,6,2,14,2,1,1,"Vehicle Accident, Excessive Physical Abuse","Sahara desert near Atbara, Suda",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,18.07428,34.434549
2018-07-18,18,7,2018,1,19,25,44,103,1,1,1,Drowning,"16 miles off the coast of Gialousa/Yeni Erenköy, Northern Cyprus","Turkish Coast Guard via IOM Turkey, Reuters, Haberler, CNN Türk",5,Eastern Mediterranea,Uncategorized,35.744546449902,34.038251470313
2018-07-18,18,7,2018,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Nador, Morocco",Association Marocaine des Droits Humans - Section Nador,1,Northern Africa,Northern Africa,35.211825542268,-2.929643536523
2018-07-18,18,7,2018,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.459629,-110.089668
2018-07-18,18,7,2018,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,22.143669,22.317084
2018-07-18,18,7,2018,6,2,6,2,14,2,1,1,"Sickness and lack of access to medicines, Starvatio","Moyale, Ethiopia, on border with Kenya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Eastern Africa,Eastern Africa,3.536064,39.065407
2018-07-17,17,7,2018,1,1,6,1,164,1,1,1,Presumed drowning,"76 nautical miles off the coast of Al-Khums, Libya",Libyan Navy,5,Central Mediterranea,Uncategorized,34.372923829775,14.2678989
2018-07-17,17,7,2018,1,2,6,2,1,1,1,1,Presumed drowning,80 nautical miles off the coast of Libya,Proactiva Open Arms,4,Central Mediterranea,Uncategorized,34.807049948548006,14.355789525
2018-07-17,17,7,2018,2,2,6,2,14,1,2,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Excessive Physical Abuse","Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,27.014784,14.312175
2018-07-17,17,7,2018,2,2,6,2,14,1,1,1,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse","Sahara desert, Sudan, near the border with Egyp",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,21.943709,27.672666
2018-07-16,16,7,2018,2,8,6,8,90,1,1,6,Suffocatio,"Inside truck container near the Mellitah oil and gas complex, east of Zuwara, Libya","Security Directorate Zuwara, Reuters",5,Northern Africa,Northern Africa,32.870128661262,12.191524254296999
2018-07-16,16,7,2018,5,2,6,2,14,1,1,1,Dehydratio,"Assamaka, Niger, near border with Algeria",IOM Niger,4,Western Africa,Western Africa,19.405237147755,5.753553025781
2018-07-16,16,7,2018,2,1,6,1,14,1,1,1,"Excessive Physical Abuse, Sexual abuse","Sahara desert, Sudan, near the border with Egyp",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,21.943709,27.672666
2018-07-15,15,7,2018,1,1,17,17,18,1,1,1,Presumed drowning,"Unspecified location off the coast of Sabratha, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,33.064676173785,12.496213994530999
2018-07-15,15,7,2018,3,1,6,1,3,1,1,1,Hyperthermia,"Ranch west of Laredo, Webb County, Texas, USA",El Mañana,1,Central America to US,Northern America,27.622260401107003,-99.549437275977
2018-07-15,15,7,2018,3,1,6,1,14,1,1,1,Mummified remains,"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.5236344,-111.5638201
2018-07-15,15,7,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.4466578,-110.3713132
2018-07-15,15,7,2018,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,23.467103,22.394775
2018-07-14,14,7,2018,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Brak, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,27.540416,14.282182
2018-07-14,14,7,2018,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,16.946465,7.967111
2018-07-14,14,7,2018,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,16.985362,7.97281
2018-07-14,14,7,2018,6,1,6,1,14,1,1,1,Vehicle Accide,"Kismayo, Somalia",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Eastern Africa,Eastern Africa,-0.310591,42.39613
2018-07-13,13,7,2018,1,4,6,4,14,1,1,1,Drowning,"Off the coast of Zuwara, Libya",IOM Italy,4,Central Mediterranea,Uncategorized,33.259416655075,12.356319176171999
2018-07-13,13,7,2018,4,3,6,3,14,1,3,3,"Sickness and lack of access to medicines, Starvation, Dehydratio",Unspecified location at sea between Bangladesh and Thailand,Mixed Migration Monitoring Mechanism Initiative (4mi),2,South-eastern Asia,South-eastern Asia,16.969076884722,92.187177600634
2018-12-07,12,7,2018,12,1,6,1,14,1,1,1,Drowning,"Off the coast of Sapzurro, Chocó, Colombia, near border with Panama","Radio Caracol, El Tiempo",3,South America,South America,8.683377435495,-77.347311625781
2018-12-07,12,7,2018,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,16.993078,8.007654
2018-12-07,12,7,2018,1,2,6,2,4,1,1,1,Drowning,Unspecified location in the Alboran Sea,UNHCR,4,Western Mediterranea,Uncategorized,35.980213560755,-1.303581809134
2018-11-07,11,7,2018,7,1,6,1,14,1,1,1,Hit by trai,"Train tracks near Colonia Vicente Guerrero, Torréon, Coahuila, Mexico",Vanguardia,1,Central America,Central America,25.519017269299997,-103.43658443225999
2018-11-07,11,7,2018,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,16.967643,7.985137
2018-11-07,11,7,2018,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,16.967643,7.985137
2018-11-07,11,7,2018,2,2,6,2,14,2,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,27.112849,16.010267
2018-10-07,10,7,2018,9,1,6,1,14,1,1,1,Sho,"Syria-Turkey border, Idlib Governorate, Syria",Syrian Observatory for Human Rights,4,Western Asia,Western Asia,36.037065773178,36.380504869171
2018-10-07,10,7,2018,2,1,6,1,14,1,1,1,"Starvation, Dehydratio","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,27.062788,15.071861
2018-10-07,10,7,2018,6,1,6,1,14,1,1,1,Shot or stabbed,"Near Dire Dawa, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Eastern Africa,Eastern Africa,9.573928,41.845284
2018-10-07,10,7,2018,2,1,6,1,14,1,1,1,"Sickness and lack of access to medicines, Vehicle Accide","Unspecified location in the Sahara desert, Suda",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,19.635357,27.103538
2018-09-07,9,7,2018,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Ciudad Miguel Alemán, Tamaulipas, Mexico","El Mañana, Debate, La Hora",3,Central America to US,Central America,26.412880585183,-99.03396164340799
2018-09-07,9,7,2018,3,1,6,1,14,1,1,1,Mummified remains,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.448212,-111.699247
2018-09-07,9,7,2018,5,1,6,1,14,1,1,1,Unknown,"Tanguieta, Beni",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,10.616667,1.266667
2018-08-07,8,7,2018,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.0577019,-112.1430215
2018-08-07,8,7,2018,2,1,6,1,14,1,1,1,"Sickness and lack of access to medicines, Starvation, Excessive Physical Abuse","Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,31.723048,14.025968
2018-07-07,7,7,2018,3,1,6,1,14,1,1,1,Skeletal remains,"7 miles north of Boulevard, San Diego County, California, USA","San Diego County Medical Examiner, WRAL News, Águilas del Desierto",5,Central America to US,Northern America,32.454,-116.1609
2018-07-07,7,7,2018,3,1,6,1,14,1,1,1,Unknown,"Body found in remote desert region in Tohono O'odham nation, near Pima County, Arizona",Desaparecidos y sin reclamar en la frontera,4,Central America to US,Northern America,31.898889970668996,-112.05710522813
2018-07-07,7,7,2018,9,1,6,1,14,1,1,1,Sho,"Syria-Turkey border, near Al-Deriyyeh, Darkush, Idlib Governorate, Syria",Syrian Observatory for Human Rights,4,Western Asia,Western Asia,36.003732194029006,36.369817650125
2018-07-07,7,7,2018,11,3,6,3,14,1,3,1,Shot or stabbed,"Nimruz province, Afghanista",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Southern Asia,Southern Asia,29.898645,61.364025
2018-07-07,7,7,2018,2,1,6,1,14,1,1,1,Vehicle Accide,"Kufra, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,22.976271,22.479841
2018-07-07,7,7,2018,2,1,6,1,14,1,1,1,Vehicle Accide,"Unspecified location in the Sahara desert, Suda",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,19.635357,27.103538
2018-07-07,7,7,2018,5,2,6,2,14,2,1,1,Sickness and lack of access to medicines,"Lagos, Nigeria",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,6.455027,3.384082
2018-07-07,7,7,2018,5,1,6,1,14,1,1,1,Unknown,"Kumasi, Ghana",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,6.666667,-1.616667
2018-06-07,6,7,2018,3,1,6,1,14,1,1,1,"Hyperthermia, Exposure, Dehydratio","Open desert near Ocotillo, Imperial County, California","US Border Patrol, Consulado de México en Caléxico, Imperial County Coroner's Office",5,Central America to US,Northern America,32.367278581232,-115.88587527187
2018-06-07,6,7,2018,3,1,6,1,14,1,1,1,Drowning,"All-American Canal, Calexico, Imperial County, California, USA","Consulado de México en Calexico, Imperial County Coroner's Office",5,Central America to US,Northern America,32.680756666023996,-115.4481011483
2018-06-07,6,7,2018,3,1,6,1,14,1,1,1,Mummified and skeletal remains,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.353453,-109.6516156
2018-06-07,6,7,2018,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.7253221,-112.0055213
2018-06-07,6,7,2018,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,24.454284,13.207711
2018-06-07,6,7,2018,2,1,6,1,14,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,22.14132,5.690257
2018-06-07,6,7,2018,5,2,6,2,14,1,1,1,Unknown,"Sokode, Togo",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,8.983333,1.133333
2018-06-07,6,7,2018,5,1,6,1,14,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Suffocatio","Porto Novo, Beni",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,6.497222,2.605
2018-05-07,5,7,2018,7,1,6,1,14,1,1,1,Fall from trai,"Train tracks near Cañada Morelos, Puebla, Mexico","Puebla Online, Periódico Central, El Salvador Times",3,Central America,Central America,18.735823585912,-97.411824347932
2018-05-07,5,7,2018,10,1,6,1,14,1,1,1,Drowning,"River Uni, Bihac, Una-Sana Canton, Bosnia and Herzegovina","N1, Klix, Glas Srpske",3,Western Balkans,Southern Europe,44.809359680245,15.874422444489
2018-05-07,5,7,2018,1,9,6,9,14,1,1,1,Presumed drowning,Bodies recovered at various locations on the Libyan coas,IOM Libya,4,Central Mediterranea,Uncategorized,32.786952053042995,13.675468269530999
2018-05-07,5,7,2018,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.9676831,-113.0133083
2018-05-07,5,7,2018,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Banjul, Gambia",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,13.453056,-16.5775
2018-05-07,5,7,2018,5,1,6,1,14,1,1,1,Dehydratio,"Porto Novo, Beni",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,6.497222,2.605
2018-05-07,5,7,2018,5,1,6,1,14,1,1,1,Vehicle Accide,"Bobo Dioulasso, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,11.183333,-4.283333
2018-04-07,4,7,2018,2,1,6,1,14,1,1,1,"Excessive Physical Abuse, Sexual abuse","Unspecified location in the Sahara desert, Suda",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,19.635357,27.103538
2018-04-07,4,7,2018,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Sikasso, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,11.316667,-5.666667
2018-04-07,4,7,2018,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Bouake, Cote d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,7.683333,-5.016667
2018-04-07,4,7,2018,5,3,6,3,14,1,1,1,"Sickness and lack of access to medicines, Sexual abuse","Bouake, Cote d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,7.683333,-5.016667
2018-04-07,4,7,2018,5,1,6,1,14,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration, Suffocatio","Gao, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,16.266667,-0.05
2018-04-07,4,7,2018,5,2,6,2,14,1,1,1,"Sickness and lack of access to medicines, Starvation, Suffocatio","Yamoussoukro, Cote d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,6.816667,-5.283333
2018-04-07,4,7,2018,5,1,6,1,14,1,1,1,Sexual abuse,"Abidjan, Cote d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,5.316667,-4.033333
2018-03-07,3,7,2018,1,6,6,6,125,1,1,1,Drowning,Off the coast of Libya,Libyan Navy,5,Central Mediterranea,Uncategorized,33.548959470348,12.784844159375
2018-03-07,3,7,2018,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Campo Cougars, Piedras Negras, Coahuila, Mexico","Zócalo, La Rancherita, La Voz",3,Central America to US,Central America,28.712361755412,-100.50849728570999
2018-03-07,3,7,2018,1,1,6,1,14,1,1,1,Presumed drowning,Unspecified location between Morocco and Spai,Watch the Med Alarm Phone,4,Western Mediterranea,Uncategorized,35.881069915197,-5.815255115625
2018-02-07,2,7,2018,7,1,6,1,14,1,1,1,Hit by trai,"Train tracks near Colonia La Esperanza, Salvatierra, Guanajuato, Mexico",El Hijo del Llanero Solitito,1,Central America,Central America,0.192065,-100.881201
2018-02-07,2,7,2018,5,1,6,1,14,1,1,1,Vehicle Accide,"Ougadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,12.357222,-1.535278
2018-02-07,2,7,2018,5,1,6,1,14,1,1,1,Vehicle Accide,"Ougadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Africa,Western Africa,12.357222,-1.535278
2018-01-07,1,7,2018,1,1,114,114,16,20,91,3,Drowning,"Off the coast of Al-Khums, Libya","IOM Libya, UNHCR Libya",4,Central Mediterranea,Uncategorized,32.976424176769,14.449173314062
2018-01-07,1,7,2018,4,11,8,19,25,2,1,1,Drowning,"Waters between Tanjung Penawar, Johor, Malaysia and Batam Island, Indonesia)","Reuters, The Sun Daily, MalayMail, Jakarta Pos",3,South-eastern Asia,South-eastern Asia,1.3680733912149998,104.39345877227
2018-01-07,1,7,2018,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near El Carrizo, Nuevo Laredo, Tamaulipas, Mexico",Líder Web,1,Central America to US,Central America,27.508628000157,-99.526230117281
2018-01-07,1,7,2018,2,1,6,1,14,1,1,1,Suffocatio,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,21.14317,23.823002
2018-06-30,30,6,2018,3,1,6,1,14,1,1,1,Dehydratio,"Ocotillo, Imperial County, California, USA",Consulado de México en Calexico,5,Central America to US,Northern America,32.706321562181,-115.99143341797001
2018-06-30,30,6,2018,3,1,6,1,14,1,1,1,Mummified remains,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.057499,-111.6660725
2018-06-30,30,6,2018,2,1,6,1,14,1,1,1,Vehicle Accide,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,21.14317,23.823002
2018-06-30,30,6,2018,2,2,6,2,14,1,2,1,"Sickness and lack of access to medicines, Starvation, Excessive Physical Abuse","Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,31.723048,14.025968
2018-06-30,30,6,2018,2,1,6,1,14,1,1,1,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter","Sahara desert, near Wadi Halfa, Sudan, on border with Egyp",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,21.818949,31.378376
2018-06-30,30,6,2018,6,6,6,6,14,1,2,1,Shot or stabbed,"Near Negele, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Eastern Africa,Eastern Africa,5.321172,39.569408
2018-06-30,30,6,2018,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Sahara desert, Ash Shamaliyah, Suda",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Northern Africa,Northern Africa,20.610678,27.916851
2018-06-29,29,6,2018,1,3,101,104,16,30,70,3,Drowning,"Off the coast of Tripoli, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,33.201475232466,13.188591717969
2018-06-29,29,6,2018,3,1,6,1,1,1,1,1,Unknown,"El Pintor Ranch near Falfurrias, Brooks County, Texas","US Border Patrol, South Texas Human Rights Center",5,Central America to US,Northern America,27.200119062524,-98.215582532813
