Web ID,Region of Incident,Reported day,Reported Month,Reported Year,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Source Quality,Migration Route,URL,UNSD Geographical Grouping,Longitude,Latitude
52474,Mediterranean,24,9,2019,1,1,1,6,1,1,1,Drowning,"20 miles off the coast of Cartagena, Murcia, Spain - boat departed from Mostaganem, Algeria",La Verdad,3,Western Mediterranean,http://bit.ly/2OqaE3W,Uncategorized,37.253252681247,-0.705211109395
52454,US-Mexico Border,23,9,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Matamoros, Tamaulipas, Mexico",El Diario de Ciudad Victoria,1,Uncategorized,https://bit.ly/2nu0UKH,Uncategorized,25.875635516654,-97.473025612357
52453,US-Mexico Border,22,9,2019,2,6,2,14,1,2,1,Hyperthermia,"Near Carrizo Springs, Dimmit County, Texas, USA",Zócalo,1,Northern America,https://bit.ly/2lVHCNN,Northern America,28.482962436929,-99.919967482585
52450,US-Mexico Border,21,9,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Guardados de Arriba, Miguel Alemán, Tamaulipas, Mexico","El Sol de Tampico, Hoy Tamaulipas",3,Central America,"https://bit.ly/2m95op7, https://bit.ly/2kXNhCx",Central America,26.394748604205,-98.955283123743
52448,Mediterranean,20,9,2019,1,1,1,14,1,1,1,Drowning,"Off the coast of Bodrum, Muğla province, Turkey","Aegean Boat Report, Turkish Coast Guard",5,Eastern Mediterranean,"https://bit.ly/2moJgav, https://bit.ly/2kAum0u",Uncategorized,36.973557207271,27.403074179688
52449,US-Mexico Border,20,9,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Ébanos Sur, Gustavo Díaz Ordaz, Tamaulipas, Mexico","Hoy Tamaulipas, El Mañana",3,Central America,"https://bit.ly/2mna62K, https://bit.ly/2m35K0E",Central America,26.244371396482,-98.557419014857
52452,US-Mexico Border,20,9,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near International Bridge 1, Eagle Pass, Texas, USA",La Rancherita del Aire,1,Northern America,https://bit.ly/2nuRqPr,Northern America,28.707751107681,-100.511400588450
52446,Europe,19,9,2019,1,6,1,14,1,1,1,Hit by train,"Train tracks near Gradsko, North Macedonia",AP,1,Western Balkans,https://bit.ly/2m9NfHN,Southern Europe,41.579840271918,21.945251077734
52447,Mediterranean,19,9,2019,1,6,1,14,1,1,1,Shot,"Abusitta disembarkation point in Tripoli, Libya - hours after being intercepted at sea and returned to shore by the Libyan C",IOM Libya,4,Central Mediterranean,https://bit.ly/2lX2fc5,Uncategorized,32.909021015328,13.220013560791
52440,Mediterranean,18,9,2019,1,4,4,6,1,1,1,Drowning,"Off the coast of Djerba, Tunisia",IOM Tunisia,4,Central Mediterranean,,Uncategorized,34.171158953801,11.255912929033
52445,Mediterranean,18,9,2019,9,4,13,5,1,9,1,Drowning,"Off the coast of Cap Djinet, 20 km east of Boumerdès","El Watan, La Dépêche de Kabylie, Caminando Fronteras",4,Western Mediterranean,"http://bit.ly/2kUikyX, https://bit.ly/2l04Lhs, https://bit.ly/2kO2KFk",Uncategorized,36.983728473300,3.638158139063
52457,Mediterranean,18,9,2019,1,6,1,1,1,1,1,Drowning,"Off the coast of Melilla, Spain","Público, Uprising Today",3,Western Mediterranean,"http://bit.ly/2lxUnOj, http://bit.ly/2nDE7fl",Uncategorized,35.320439624103,-2.948396982617
52435,Central America,17,9,2019,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Near migrant shelter San Francisco, Tehuacán, Puebla, Mexico","Milenio, El Sol de Puebla",3,Central America,"http://bit.ly/2m2ogGj, http://bit.ly/2lUWqMo",Central America,18.509727048315,-97.409583062974
52436,US-Mexico Border,17,9,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near ejido Centinela, Piedras Negras, Coahuila, Mexico",Contrapunto,1,Central America,http://bit.ly/2kt1cAo,Central America,28.727462890595,-100.507922294930
52437,US-Mexico Border,17,9,2019,1,6,1,14,1,1,1,Drowning,"Canal next to the César Chávez Border Highway by Fonseca Drive, El Paso, El Paso County, Texas, USA","El Paso Times, La Jornada",3,Northern America,"http://bit.ly/2kSBxRB, http://bit.ly/2m0utCE",Northern America,31.753616299345,-106.417258984670
52438,Mediterranean,17,9,2019,3,6,3,8,1,3,1,Drowning,"Five nautical miles north of Cap Falcon, Oran, Algeria","Ministry of Defence of Algeria, Association Marocaine des Droits Humains - Section Nador",5,Western Mediterranean,"http://bit.ly/2lYF554, http://bit.ly/2leSiXq",Uncategorized,36.042293320857,-0.509071856820
52439,Mediterranean,17,9,2019,3,4,7,9,1,1,1,Drowning,"Off the coast of Sfax, Tunisia",IOM Tunisia,4,Central Mediterranean,,Uncategorized,34.589760230843,10.937168074215
52441,Mediterranean,17,9,2019,1,6,1,14,1,1,1,Drowning,"Body recovered on Plage Bouyafar, near Nador, Morocco (Alboran sea)",Association Marocaine des Droits Humains - Section Nador,4,Western Mediterranean,http://bit.ly/2m4ywxN,Uncategorized,35.247147751476,-3.164730754659
52434,US-Mexico Border,16,9,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Donna-Río Bravo International Bridge, Tamaulipas, Mexico","El Mañana, Vox Pópuli",3,Central America,"http://bit.ly/2mjInzX, http://bit.ly/2kHZJq5",Central America,26.066558587779,-98.076219015077
52428,Caribbean,14,9,2019,3,6,3,11,1,1,1,Drowning,"Off the coast of Playa Martinica, Aguadilla, Puerto Rico",US Border Patrol,5,Caribbean,"http://bit.ly/2mivS7Y, http://bit.ly/2mjbKma, http://bit.ly/2m0vPNJ",Caribbean,18.513426343887,-67.150985613449
52433,US-Mexico Border,14,9,2019,2,6,2,14,1,2,1,Drowning,"Río Bravo, near Isla del Mudo, Piedras Negras, Coahuila, Mexico","Zócalo, SuperChannel 12",3,Central America,"http://bit.ly/2mi3D9f, http://bit.ly/2mmU218",Central America,28.727691607932,-100.508059818540
52444,US-Mexico Border,14,9,2019,1,6,1,14,1,1,1,Skeletal remains,"Ranch near Encino, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,https://bit.ly/2l1grRh,Northern America,26.962501412677,-98.293211366797
52426,Mediterranean,13,9,2019,1,4,4,1,1,1,1,Presumed drowing,"15 miles off the coast of Marettimo, Sicily, Italy",IOM Italy,4,Central Mediterranean,http://bit.ly/2kmw0CP,Uncategorized,37.949458912014,11.983127132731
52427,US-Mexico Border,13,9,2019,1,6,1,14,1,1,1,Dehydration,"Ranch southwest of the Falfurrias Border Patrol Checkpoint on U.S. Highway 281, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,http://bit.ly/2mdSO89,Northern America,26.975419020731,-98.236322802092
52451,US-Mexico Border,13,9,2019,1,6,1,14,1,1,1,Unknown,"Ranch near Encino, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,http://bit.ly/2mOowJI,Northern America,26.932000971238,-98.226225375945
52391,US-Mexico Border,12,9,2019,1,6,1,14,1,1,1,Mummified remains,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,http://www.humaneborders.info/app/mapa.asp,Northern America,31.654940500000,-112.088417200000
52425,Europe,12,9,2019,1,6,1,8,1,1,1,Vehicle Accident,"Egnatia highway, near Komotini, Greece","Ekathimerini, Voria, IOM Greece",4,Southern Europe,"http://bit.ly/2mkfdAX, http://bit.ly/2lY1sYc",Southern Europe,41.094866935213,25.406005057255
52405,US-Mexico Border,11,9,2019,2,6,2,35,1,1,1,Drowning,"Río Bravo, near San Felipe Creek, Del Rio, Val Verde County, Texas","CNN, Univisión, Telemundo",3,Northern America,"https://cnn.it/2mmuLE9, http://bit.ly/2kHXZ00, https://tlmdo.co/2lZ6zrh",Northern America,29.326039842099,-100.919307459890
52424,Middle East,9,9,2019,1,6,1,14,1,1,1,Drowning,"Evros/Meriç river, near Yenikadın, Edirne, Turkey","CNN Türk, Hurriyet",3,Western Asia,"http://bit.ly/2mkfAeP, http://bit.ly/2kBGxdz",Western Asia,41.686784185245,26.437765783120
52000,Europe,7,9,2019,1,6,1,14,1,1,1,Head injury,"Body recovered in Dora river, near Bardonecchia, Piamonte, Italy","Il Corriere de la Sera, La Reppublica",3,Italy to France,"http://bit.ly/2lDG4ro, http://bit.ly/2m7kCv2",Southern Europe,45.079408592493,6.700213388391
52001,North Africa,7,9,2019,1,6,1,14,1,1,1,Violence,"Bolingo forest, near Nador, Morocco","Association Marocaine des Droits Humains - Section Nador, Caminando Fronteras",4,Northern Africa,"http://bit.ly/2k6OFlN, http://bit.ly/2knuWi5, http://bit.ly/2m1WIRr",Northern Africa,35.204391764075,-2.925109863281
51998,US-Mexico Border,6,9,2019,1,6,1,14,1,1,1,Sickness,"Hospital in San Antonio, Texas after being rescued from the Río Bravo near Eagle Pass, Maverick County, Texas, USA",US Border Patrol,5,Northern America,http://bit.ly/2lEKVbI,Northern America,29.424121900000,-98.493628200000
51999,Mediterranean,6,9,2019,1,6,1,13,1,1,1,Sickness and lack of access to medicine,"Samos hospital shortly after being rescued off the coast of Kokkari, Samos, Greece",IOM Greece,4,Eastern Mediterranean,http://bit.ly/2kylsk3,Uncategorized,37.754785700000,26.977770100000
51997,US-Mexico Border,5,9,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near poblado Venecia, Reynosa, Tamaulipas, Mexico","Hoy Tamaulipas, El Mañana",3,Central America,"http://bit.ly/2m7mXpO, http://bit.ly/2lJkhi4",Central America,26.095001305916,-98.273011631016
52432,Mediterranean,5,9,2019,1,4,4,14,1,4,1,Presumed drowing,"Off the coast of Bouyafar, Morocco (Alboran Sea)","El Faro de Ceuta, EFE, Association Marocaine des Droits Humains - Section Nador",4,Western Mediterranean,"http://bit.ly/2lQNNm0, http://bit.ly/2lVZckA, http://bit.ly/2kPqHfk, http://bit.ly/2mqcdTC",Uncategorized,35.837725415025,-3.356083848156
52407,US-Mexico Border,4,9,2019,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Eagle Pass, Maverick County, Texas, USA",La Rancherita del Aire,1,Northern America,http://bit.ly/2lSl3cg,Northern America,28.719389776553,-100.507124167020
51993,Mediterranean,3,9,2019,1,15,15,2,1,1,1,Drowning,"40 miles south-east of Cabo de Gata, Almería, Spain ","Salvamento Marítimo via eldiario.es, La Voz de Almería, El Watan",3,Western Mediterranean,"http://bit.ly/2lBlUhn, http://bit.ly/2jWcigQ, http://bit.ly/2m1iHYV, http://bit.ly/2kpb1iz",Uncategorized,36.592468317565,-1.720397814063
